,Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,Consumption on Current Month,PIGCOM,monthly Chemical Forecast,current Chemical Demand,monthly Consumption (6months),monthly Consumption (3months)
143,104963.0,RODA CARE NL,TFL,O,85.0,115.0,Binder,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",9545.0,2023-07-21::2530.0|||NaT::7015.0,115.0,25.0,129.8,COMPOUND,2563.0,1948.0,1775.0,2364.0
144,104728.0,PRIMEX UD 32,GSC ITALY,O,80.0,120.0,Binder,,,,,,0.0,,,,0.0,0.0
145,104761.0,BRITEX RED,SAMIA,O,70.0,1.0,Pigmented,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
146,104624.0,RODA CRYL 137,TFL,O,85.0,120.0,Binder,"RIM+EF HERCULES TT, AJAX TT /RIM+FISS toronto tab /EFF+FISS Bavaria,….",,,600.0,131.0,36.48,COMPOUND,120.0,38.0,89.0,92.0
147,104625.0,RODA FEEL S 930,TFL,O,85.0,22.0,Auxiliary,add on FISS nitro,,,506.0,10.0,6.985,COMPOUND,130.0,17.0,68.0,64.0
148,104801.0,ROSSO CONTEX CO,SAMIA,O,70.0,120.0,,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
149,105466.0,OPERA ROSSO DL,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,1080.0,164.0,3.235,PIGMENT,190.0,10.0,63.0,57.0
150,105042.0,SAMIANIL CB ROSSO RP,SAMIA,O,70.0,25.0,Pigmented,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL",,,30.0,8.0,0.024,PIGMENT,2.0,0.0,1.0,1.0
151,104750.0,ISOLAC  ROSSO ,SAMIA,O,70.0,10.0,,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED""",,,160.0,39.0,1.06,PIGMENT,12.0,1.0,11.0,15.0
152,105597.0,SHADE RED/EJ,GSC,O,70.0,10.0,,"pigment EFF nitro, KELA",,,,4.0,0.0,,,,0.0,0.0
153,105018.0,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,70.0,1.0,Pigmented,,,,,,0.0,,,,0.0,0.0
154,104673.0,SE W 11 CONC,FENICE,O,64.0,30.0,Auxiliary,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip",,,1400.0,33.0,0.0,COMPOUND,22.0,3.0,1.0,1.0
155,104703.0,SMITFIX G 9058,SMIT FINISHING,O,70.0,120.0,Binder,Millipunte HAWAII TIP,,,,96.0,2.15,COMPOUND,17.0,11.0,3.0,4.0
156,104672.0,MP1,RIVERBANK,D,14.0,190.0,Solvent,pha màu và v? sinh,,,2090.0,1543.0,977.571,COMPOUND,3769.0,307.0,4283.0,4069.0
157,105161.0,PM1–CLEANING,SAMCHEM,D,14.0,190.0,Solvent,,,,,,0.0,,,,0.0,0.0
158,105094.0,ACETONE *,AN V?NH PHÁT,D,14.0,160.0,,,,,,,0.0,,,,0.0,0.0
159,105114.0,SODA CASTIC,Nam Bình,D,14.0,25.0,Auxiliary,Maintenance,,,,,150.0,,,,79.0,108.0
160,104642.0,TOLUENE,RIVERBANK,D,14.0,179.0,Solvent, Fiss Deco&lux,,,179.0,71.0,0.46,COMPOUND,16.0,2.0,9.0,4.0
161,104691.0,TOUCHMILL C/WS,GSC ITALY,O,80.0,1000.0,Auxiliary,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI",,,840.0,102.0,32.475,COMPOUND,136.0,34.0,99.0,105.0
162,104808.0,TURCHESE CONTEX T,SAMIA,O,70.0,60.0,,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
163,105470.0,OPERA TURCHESE,GSC,O,70.0,120.0,Pigmented,NCC ?ã ??i tên thành (OXY FINE TURCHESE),,,240.0,109.0,29.378,PIGMENT,196.0,76.0,84.0,80.0
164,105187.0,OXY FINE TURCHESE,GSC,O,70.0,120.0,Pigmented,GSC pigmnet,,,480.0,,0.0,,,,0.0,0.0
165,104753.0,ISOLAC TURCHESE,SAMIA,O,70.0,10.0,Pigmented,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU""",,,140.0,44.0,2.344,PIGMENT,33.0,7.0,22.0,18.0
166,105598.0,SHADE BLU/EJ,GSC,O,70.0,10.0,Pigmented,"pigment EFF nitro, KELA",,,,6.0,0.0,,,,0.0,0.0
167,104765.0,BRITEX TURQUOISE,SAMIA,O,70.0,1.0,Pigmented,,,,,,0.0,,,,0.0,0.0
168,104913.0,LS 16-235,STAHL Singapore,O,23.0,170.0,Solvent,,,,,,0.0,,,,0.0,0.0
169,105326.0,SU 16-235,STALH Singapore,O,23.0,180.0,,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
170,105165.0,LS-76-235,STALH Brazil,O,23.0,170.0,Solvent,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
171,105336.0,EX-SU-76-235,STALH Singapore,O,25.0,180.0,Solvent,"EFF, FISS nitro",,,2160.0,173.0,247.954,COMPOUND,1451.0,511.0,1241.0,1243.0
172,104771.0,CONTEX VERDE,SAMIA,O,70.0,60.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
173,105463.0,OPERA VERDE,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,720.0,117.0,25.491,PIGMENT,121.0,96.0,63.0,76.0
174,105188.0,OXY FINE VERDE,GSC,O,70.0,120.0,,GSC project,,,,,0.0,,,,0.0,0.0
175,104809.0,VIOLETTO CONTEX R,SAMIA,O,70.0,60.0,,,,,,,0.0,PIGMENT,1.0,0.0,0.0,0.0
176,105471.0,OPERA PORPORA,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,1920.0,172.0,5.45,PIGMENT,83.0,10.0,33.0,35.0
177,105475.0,OXY FINE VIOLETTO,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,3240.0,116.0,1.259,PIGMENT,37.0,17.0,40.0,37.0
178,105474.0,OXY CAR BORDEAUX HP,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,1320.0,164.0,4.443,PIGMENT,82.0,7.0,15.0,20.0
179,104752.0,ISOLAC VIOLETTO,SAMIA,O,70.0,10.0,Pigmented,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",,,270.0,77.0,8.984,PIGMENT,66.0,16.0,59.0,62.0
180,105599.0,SHADE VIOLET/EJ,GSC,O,70.0,10.0,Pigmented,"pigment EFF nitro, KELA",,,,9.0,0.0,,,,0.0,0.0
181,104655.0,WT-13-351 (EX-64-170/3),STAHL,O,0.0,120.0,Binder,CLASSIC,,,,,0.0,,,,0.0,0.0
182,104873.0,EX-WT-42-511,STAHL Singapore,O,25.0,110.0,Binder,"FISS art CALIFORNIA, CADENZA",,,110.0,214.0,2.15,COMPOUND,153.0,20.0,46.0,16.0
183,104923.0,TOP RT 10,GSC GROUP S.P.A,O,70.0,10.0,Auxiliary,NCC ?ã ??i tên thành (CRX RT CONC),,,,10.0,2.51,COMPOUND,0.0,0.0,52.0,20.0
184,105177.0,CRX RT CONC,GSC GROUP S.P.A,O,70.0,10.0,,tên m?i c?a TOP RT 10,,,250.0,77.0,8.975,COMPOUND,87.0,21.0,21.0,41.0
185,105411.0,XR-2514,STAHL,O,70.0,1.0,Auxiliary,anti allergic to replaceTop RT-10 ,,,,,0.0,,,,0.0,0.0
186,104767.0,CONTEX ZITRON,SAMIA,O,70.0,60.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
187,105455.0,OXY CAR CITRON HP,GSC,O,70.0,150.0,Pigmented,GSC pigment,,,1050.0,94.0,21.735,PIGMENT,162.0,5.0,57.0,62.0
188,104819.0,CORAM T YELLOW,Orchid Chem,D,14.0,10.0,Pigmented,Replacement for GIALLO R+L DHL 240Kg/month,,,,,0.0,COMPOUND,7.0,0.0,0.0,0.0
189,85447.0,CA 3303,Orchid Chem,D,14.0,25.0,,Replacement for CORAM T YELLOW ,,,,,,,,,,
190,105554.0,RODA LAC ON 3050-N3,TFL,O,85.0,20.0,Solvent,"FISS art SIENA, ARTIC,Maestro",,,580.0,12.0,4.29,COMPOUND,10.0,0.0,12.0,13.0
191,104842.0,RODA CARE NC,,O,0.0,1.0,Binder,,,,,,0.0,,,,0.0,0.0
192,104854.0,RODA PUR K 312,TFL,O,85.0,120.0,Solvent,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
193,105550.0,RODA PUR K 312/F,TFL,O,85.0,120.0,Solvent,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",,,1680.0,33.0,28.296,COMPOUND,89.0,0.0,137.0,73.0
194,104810.0,CONTEX ROSSO HTR-CO,SAMIA,O,70.0,60.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
195,105476.0,OPERA VINACCIA,GSC,O,70.0,120.0,Pigmented,GSC pigment,240.0,2023-07-22::120.0|||2023-08-19::120.0,360.0,139.0,16.045,PIGMENT,257.0,65.0,115.0,127.0
196,104858.0,ISO PROPYLIC ALCOHOL,RIVERBANK,D,14.0,160.0,Solvent,"DYECOAT-BUENA, Fleshside",,,320.0,240.0,90.694,COMPOUND,243.0,144.0,309.0,325.0
197,104983.0,RECAPUR FIX TVN3,,O,0.0,1.0,,,,,,,0.0,,,,0.0,0.0
198,100413.0,MELIO FOAM AX-03,STAHL Singapore,O,25.0,50.0,Auxiliary,add on FONDO FOAM,,,500.0,64.0,34.399,COMPOUND,308.0,66.0,138.0,147.0
199,104877.0,CRX S 75 / NT,GSC ITALY,O,80.0,10.0,Auxiliary,cross linker,900.0,2023-07-01::400.0|||2023-07-22::400.0|||2023-08-19::100.0,90.0,173.0,72.165,COMPOUND,419.0,70.0,331.0,320.0
200,105256.0,XR-5525,STAHL Singapore,O,70.0,5.0,Auxiliary,,,,,,0.0,,,,0.0,0.0
201,105659.0,EX-XR-55-250 ,STAHL Singapore,O,70.0,5.0,,cross linker,,,30.0,24.0,0.0,COMPOUND,13.0,3.0,3.0,3.0
202,104662.0,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,70.0,1000.0,Auxiliary,,,,,,0.0,,,,0.0,0.0
203,104390.0,SUPRONIL HK BLACK AS,STAHL Germany,O,80.0,30.0,Pigmented,(Daniele)we can replace  with the new ones,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
204,105045.0,SAMIANIL CB NERO RP,SAMIA,O,70.0,1.0,Pigmented,This chemical will be applied on leather flesh side to use color that is in stock for long time (green,,,300.0,30.0,0.52,PIGMENT,13.0,1.0,9.0,6.0
205,105124.0,SUPRONIL BLACK LD-5915,STAHL Germany,O,80.0,1.0,Pigmented,,,,,,0.0,,,,0.0,0.0
206,104962.0,RODA LEVELLER B-LM,TFL,O,85.0,120.0,Solvent,add on FISS water,,,240.0,108.0,22.241,COMPOUND,110.0,41.0,119.0,131.0
207,104902.0,SAMIACEL MACCHIA 3338,SAMIA,O,70.0,50.0,Solvent,,,,,,0.0,,,,0.0,0.0
208,105534.0,SAMIACEL MACCHIA 3338 ET,SAMIA,O,70.0,50.0,Solvent,KELA,650.0,2023-07-01::300.0|||2023-07-22::350.0,300.0,174.0,36.764,COMPOUND,264.0,10.0,259.0,257.0
209,104882.0,SMITFIX RL 9492,SMIT FINISHING,O,85.0,120.0,Binder,MALDONADO  LUX,,,,,0.0,,,,0.0,0.0
210,104497.0,RODA WAX KCF 638,-,O,0.0,1.0,Auxiliary,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
211,104946.0,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,85.0,120.0,,"KARMA/TUNDRA, THUNDER",,,,217.0,0.0,COMPOUND,0.0,0.0,0.0,0.0
212,105402.0,ICALAC SB1 MATT,ICAP,O,83.0,23.0,Solvent,"FISS Ellington, BENFICA, CARUSO,VISEU",,,1495.0,38.0,32.6,,,,58.0,64.0
213,104572.0,ICALAC SB 215,ICAP,O,83.0,110.0,Solvent,"FISS Ellington, BENFICA, CARUSO,VISEU",,,2200.0,246.0,126.65,COMPOUND,314.0,38.0,281.0,324.0
214,105084.0,GEALUX QT,Getti Brazil ,O,68.0,120.0,Auxiliary,"TATO Milling  Ellington, BENFICA, CARUSO",,,700.0,190.0,31.8,COMPOUND,70.0,10.0,58.0,81.0
215,104842.0,RODA CARE NC,-,O,0.0,1.0,Binder,,,,,,0.0,,,,0.0,0.0
216,104846.0,RODA FEEL N 4,TFL,O,85.0,60.0,Auxiliary,"Fiss Baltimora, Tatto Milling ",720.0,2023-06-29::300.0|||NaT::420.0,2880.0,106.0,261.7,COMPOUND,1287.0,548.0,950.0,1127.0
217,104847.0,RODA FEEL S 2081,TFL,O,85.0,25.0,Auxiliary, FISS water & nitro (1 s? article),,,250.0,68.0,1.4,COMPOUND,49.0,4.0,25.0,34.0
218,100047.0, Rosilk 2229 Feel Modifier,TFL Brazil,O,85.0,25.0,,backup for RODA FEEL S 2081,,,,,0.0,,,,0.0,0.0
219,104852.0,RU 74-987,STAHL Singapore,O,80.0,110.0,Binder,,,,,,0.0,,,,0.0,0.0
220,104870.0,WT-48-459,-,O,0.0,1.0,,,,,,,0.0,,,,0.0,0.0
221,104900.0,NOVA EXP 2052/NF,-,O,0.0,1.0,,,,,,,0.0,,,,0.0,0.0
222,104905.0,FOAM A 10,-,O,0.0,100.0,,,,,,,0.0,,,,0.0,0.0
223,104911.0,ISOLAC FINISH 2081,-,O,0.0,50.0,Solvent,,,,,,0.0,,,,0.0,0.0
224,105020.0,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,70.0,40.0,Binder,ch?y BASEMASK,1320.0,2023-07-10::680.0|||2023-08-15::640.0,720.0,340.0,240.0,,,,670.0,648.0
225,105027.0,RODA TEC AW,TFL,O,85.0,120.0,Auxiliary,"Fiss Baltimora (art ALINE K TT, BALI….)",840.0,2023-07-21::840.0,3720.0,171.0,262.15,COMPOUND,1385.0,629.0,1127.0,1247.0
226,105025.0,RODA BASE AF-B,TFL,O,85.0,120.0,Binder,"RIM HERCULES,FON CAPRI",,,,,0.0,,,,0.0,0.0
227,105559.0,RODA BASE AF-B/N,TFL,O,85.0,120.0,Binder,"RIM  AJAX TT,HERCULES,FON CAPRI",,,960.0,121.0,9.468,COMPOUND,265.0,244.0,117.0,184.0
228,105026.0,RODA FIX 6271/C,TFL,O,85.0,120.0,Binder,,,,,,0.0,,,,0.0,0.0
229,101261.0,EUDERM NAPPA SOFT S2-A,TFL Italy,O,85.0,115.0,,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",2070.0,2023-06-29::1150.0|||2023-07-21::920.0,2345.0,65.0,289.42,COMPOUND,1037.0,101.0,600.0,656.0
230,100041.0,PRIMAL SB-100,LANXESS,O,25.0,120.0,Binder,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",,,,,0.0,,,,0.0,0.0
231,105614.0,PRIMAL LH-100,LANXESS,O,25.0,120.0,,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",,,,,0.0,,,,0.0,0.0
232,105655.0,PRIMAL LH 500 ,TFL Brazil,O,85.0,1000.0,,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",2000.0,2023-07-19::2000.0,8000.0,291.0,664.684,COMPOUND,2377.0,240.0,1377.0,1494.0
233,104221.0,PRIMAL SB-150,LANXESS,O,25.0,120.0,Binder,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE",,,,,0.0,,,,0.0,0.0
234,105615.0,PRIMAL LH-150,LANXESS,O,25.0,120.0,,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE",,,,,0.0,,,,0.0,0.0
235,105656.0,PRIMAL LH 550,TFL Brazil,O,85.0,1000.0,Binder,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX",,,7000.0,480.0,352.884,COMPOUND,1369.0,260.0,856.0,892.0
236,105008.0,BINDER M-RI 99,GSC GROUP S.P.A,O,70.0,120.0,Binder,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)",22200.0,2023-07-22::10200.0|||2023-08-19::12000.0,240.0,935.0,414.26,COMPOUND,2348.0,353.0,1711.0,2202.0
237,104959.0,EX-LS-64-468,STAHL Singapore,O,25.0,25.0,Solvent,BUY MORE 225,,,400.0,70.0,3.0,COMPOUND,0.0,0.0,108.0,67.0
238,104706.0,AQUABASE HF LIQ,STAHL Germany,O,80.0,90.0,Binder,,,,,,0.0,,,,0.0,0.0
239,105127.0,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,14.0,120.0,Auxiliary,Tipshine,,,,,0.0,,,,0.0,0.0
240,105167.0,Aquabase HP ,Stahl ,O,70.0,75.0,,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754",,,,,0.0,,,,0.0,0.0
241,105658.0,AQUABASE UPH,Stahl ,O,70.0,75.0,Binder,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),,,,,0.0,,,,0.0,0.0
242,104910.0,RODA CARE 5754,TFL,O,85.0,100.0,Binder,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),12500.0,2023-07-17::1000.0|||2023-07-21::5500.0|||NaT::6000.0,3500.0,1012.0,788.0,,,,5089.0,5638.0
243,105218.0,FOUNDER ROLLER 2515 ,SAMIA,O,80.0,40.0,,,,,,,0.0,,,,0.0,0.0
244,105126.0,ANTIFOAM NS-165,Vina Hào D??ng,D,14.0,25.0,Auxiliary,"add on FISS water, Basemask 5755",,,50.0,50.0,0.37,COMPOUND,5.0,1.0,18.0,32.0
245,105173.0,SMITFIX G 9631,SMIT FINISHING S.P.A,O,70.0,120.0,Binder,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM",,,12000.0,414.0,47.5,COMPOUND,330.0,17.0,542.0,857.0
246,105175.0,SMITFIX G 9633,SMIT FINISHING S.P.A,O,70.0,120.0,Binder,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE",,,8160.0,210.0,0.0,COMPOUND,144.0,10.0,41.0,45.0
247,105600.0,EX-WT-35-703,STAHL Germany,O,83.0,120.0,Binder,FISS ANKUR K TT,,,600.0,122.0,0.0,COMPOUND,33.0,0.0,78.0,24.0
248,105080.0,RODA CARE HB,TFL,O,85.0,100.0,Binder,PRE HERCULES,,,,,0.0,,,,0.0,0.0
249,105516.0,RODA CARE HB-B,TFL,O,85.0,100.0,Binder,"PRE HERCULES, AJAX TT",,,1200.0,76.0,23.5,COMPOUND,194.0,182.0,156.0,249.0
250,105255.0,MA-22-617,STAHL Spain,O,71.0,25.0,Binder,"EF HERCULES, AJAX TT",,,700.0,27.0,10.245,COMPOUND,9.0,8.0,13.0,20.0
251,105393.0,RODA FEEL KTA 950,TFL,O,85.0,25.0,Auxiliary,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling",,,1100.0,130.0,17.33,COMPOUND,304.0,76.0,119.0,126.0
252,105012.0,RODA FEEL KTA 950 BR ,TFL,O,85.0,30.0,,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP",,,,,0.0,,,,0.0,0.0
253,105203.0,RODA FIX 6306,TFL Brazil,O,85.0,200.0,Binder,"FIS HERCULES, AJAX TT",,,400.0,175.0,84.63,COMPOUND,110.0,94.0,230.0,390.0
254,105059.0,RODA FEEL S 2075-BR,TFL,O,85.0,10.0,Auxiliary,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT",,,40.0,,0.0,COMPOUND,4.0,3.0,0.0,0.0
255,104949.0,RODA BASE RECO 3,TFL,O,85.0,120.0,Binder,"PRE-CAPRI, ANKUR K TT",,,240.0,195.0,0.0,COMPOUND,26.0,0.0,26.0,39.0
256,105349.0,RODA FEEL S 2075,TFL,O,85.0,120.0,Auxiliary,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",,,150.0,8.0,1.65,,,,2.0,2.0
257,104951.0,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,83.0,120.0,Binder,July08-Alan:Place an order for 360kg 9549 ASAP-cancel,,,,,0.0,,,,0.0,0.0
258,105492.0,SELLA DERM YELLOW M2,TFL,O,85.0,25.0,Pigmented,"pigment SIENA, EF WATER",,,75.0,5.0,1.452,COMPOUND,5.0,0.0,9.0,9.0
259,104978.0,DARKWAX 6G,GSC,O,70.0,120.0,Auxiliary,THUNDER,,,240.0,120.0,0.0,COMPOUND,0.0,0.0,0.0,0.0
260,105158.0,FYL WAX 6G,GSC,O,70.0,120.0,,THUNDER,,,,,0.0,,,,0.0,0.0
261,105547.0,SELLA DERM LIGHT BLUE M2,TFL Italy,O,85.0,25.0,Pigmented,pigment SIENA,,,,28.0,0.195,COMPOUND,2.0,0.0,1.0,1.0
262,105548.0,SELLA DERM FUCSIA M2,TFL Italy,O,85.0,25.0,,pigment SIENA,,,,24.0,0.548,COMPOUND,1.0,0.0,2.0,2.0
263,105549.0,SELLA DERM ORANGE M2,TFL Italy,O,85.0,25.0,,,,,25.0,,0.0,COMPOUND,2.0,0.0,2.0,0.0
264,105409.0,RODA GROUND RECO 5,TFL Italy,O,85.0,120.0,Binder,SIENA,,,13080.0,126.0,67.254,COMPOUND,249.0,0.0,64.0,53.0
265,105545.0,RODA WAX 4092,TFL Italy,O,85.0,110.0,Auxiliary,SIENA,,,2530.0,186.0,6.413,COMPOUND,83.0,0.0,17.0,15.0
266,105369.0,RODA PUR ADX,TFL Italy,O,85.0,120.0,Binder,SIENA,,,2520.0,214.0,14.268,COMPOUND,58.0,0.0,14.0,11.0
267,104944.0,RODA OIL KCF 673,TFL Italy,O,85.0,110.0,Auxiliary,SIENA,,,4510.0,110.0,20.0,COMPOUND,559.0,0.0,18.0,13.0
268,105063.0,FI 18988,STAHL,O,70.0,25.0,Auxiliary,SIENA,,,,15.0,0.0,,,,1.0,0.0
269,105560.0,RODA FIX 5792/N2,TFL Italy,O,85.0,120.0,Binder,,,,120.0,73.0,0.0,,,,0.0,0.0
270,105621.0,RODA WAX KCF 604/N,TFL Italy,O,85.0,120.0,Auxiliary,SIENA,,,2280.0,252.0,78.088,COMPOUND,580.0,0.0,154.0,124.0
271,105626.0,NNXC R-16L,,O,83.0,30.0,,sample-Shippiment Brazil to JBS Vietnan,,,1060.0,,0.0,,,,0.0,0.0
272,105685.0,PRIMEX 2293,GSC,O,70.0,5.0,Binder,sample-Chemicals for Chamois and Maestro ,,,20.0,2.0,0.96,,,,0.0,1.0
273,105193.0,ADDITIVE LIV 2455/2,GSC,O,83.0,5.0,Auxiliary,sample-Chemicals for Chamois and Maestro ,,,,1.0,0.968,,,,0.0,1.0
274,105684.0,FYL WAX 2500,GSC,O,83.0,10.0,Auxiliary,sample-Chemicals for Chamois and Maestro ,,,20.0,5.0,1.98,,,,1.0,1.0
275,105682.0,FYL WAX 69,GSC,O,83.0,50.0,Auxiliary,sample-Chemicals for Chamois and Maestro ,,,120.0,59.0,19.66,,,,7.0,14.0
276,105638.0,PEVIT XVS 5491,GSC,O,83.0,1.0,,Chemicals for Chamois and Maestro ,,,,,,,,,0.0,0.0
277,104930.0,RODA PUR WX,TFL,O,85.0,1.0,Binder,sample-Chemicals for Chamois and Maestro ,,,,46.0,0.0,,,,2.0,0.0
278,,ISOLAC FUCSIA LP,GSC,O,83.0,1.0,,Chemicals for Chamois and Maestro ,,,,,,,,,,
279,105612.0,SHADE FUXIA/EJ,GSC,O,83.0,10.0,Pigmented,,,,,,0.0,,,,0.0,0.0
280,104948.0,RODA WAX 6311,TFL Brazil,O,85.0,120.0,Auxiliary,,,,120.0,90.0,0.0,,,,7.0,9.0
281,105079.0,RODA CARE CE/N2,TFL Italy,O,85.0,80.0,,,,,1120.0,76.0,0.0,,,,13.0,0.0
282,105443.0,ICAFIX 282,ICAP,,,,,,,,1080.0,191.0,0.0,,,,22.0,44.0
283,105700.0,AQUADERM ADDITIVE XF EXP 2208,TFL,,,,,,,,,30.0,0.0,,,,0.0,0.0
284,105204.0,RODA FIX 5114/N DULL,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
285,105652.0,RODA CAR B 98,TFL,,,,,,,,120.0,,0.0,,,,2.0,0.0
286,105370.0,RODA FIX 5792/N,TFL,,,,,,,,120.0,,0.0,COMPOUND,4.0,0.0,0.0,0.0
287,105029.0,RODA BASE SB,TFL,,,,,,,,240.0,,0.0,,,,0.0,0.0
288,105701.0,RODA BASE RECO 10,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
289,105031.0,RODA BASE RECO 4,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
290,105350.0,RODA FIX 5020,TFL,,,,,,,,120.0,267.0,0.0,,,,0.0,0.0
291,104790.0,RODA FIX 5010 GLOSS,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
292,104791.0,RODA WAX KCF 699,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
293,105375.0,RODA FIX 5284 GLOSS,TFL,,,,,,,,125.0,,0.0,,,,0.0,0.0
294,105706.0,RODA FIX SFD,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
295,105746.0,PRDUCT WX 5266,TFL,,,,,,,,120.0,,0.0,,,,0.0,0.0
